name,address,latitude,longitude,phone,website
Ashiana Food Bank,"62, Mosque Rd, Frazer Town, Bengaluru, Karnataka 560005",13.00075107,77.61590777,9740125500,https://ashianahome.org/
Upkriti NGO,"No 18, 2nd Floor, 8th Cross Rd, Venugopal Nagar, Doddabidarakallu, Bengaluru, Karnataka 560073",13.04779556,77.49667311,7676522131, http://www.upkriti.org/
Goonj Bangalore,"SY No 51/1, Kudlu Gate, Hosur Main Rd, Bengaluru, Karnataka 560068",12.9025,77.6318,8287969730,goonj.org
Hasiru Dala,"#50, 2nd Cross Rd, JP Nagar 2nd Phase, Bengaluru, Karnataka 560078",12.9121,77.5896,8041198700,hasirudala.in
Banglore Food Bank,"Site No. 3 & 4, KHB Colony, Airport By-Pass, Road, Yelahanka, Bengaluru, 560079",12.98819397,77.53069435,8867853278,bangalorefoodbank.com
The Akshaya Patra Foundation,"Ward No. 10, #72, 3rd Floor, 3rd Main Road, 1st & 2nd Stage, Yeshwanthpur Industrial Suburb, Rajajinagar, Bengaluru, Karnataka 560022",13.02233229,77.55024093,8030143400,akshayapatra.org
Rise Against Hunger India,"302, 3rd Cross, 9th H Main Rd, HRBR Layout 1st Block, Kalyan Nagar, Bengaluru, Karnataka 560043",13.01920694,77.6536317,8025426948,riseagainsthungerindia.org
NO HUNGRY CHILD,"3rd Floor, Shravanthi Palace, 301, 3rd Cross Rd, CR Layout, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560078",12.91570205,77.57818705,9071715370,nohungrychild.in
Manav Charities,"Manav Home, 13th Cross Rd, Geleyara Balaga Layout, Chikkalasandra, Bengaluru, Myadarahalli, Karnataka 560057",13.06939538,77.50792643,8152051333,manavcharities.net
Ananda Sagara,"Patel Nanjundappa Layout, Hanumanthappa Layout, Kyalasanahalli, Bengaluru, Karnataka 560077",13.06108941,77.65585161,9353770618,anandasagara.org
AiR Humanitarian Homes,"Survey no. 34\2 Chikkagubbi Village,, Dodda Gubbi, near Alpha Engineering College, Bengaluru, Karnataka 560077",13.07781574,77.66330017,9739544444,airhumanitarianhomes.org
NEW ARK MISSION OF INDIA (Home of Hope),"5th Cr, KRC Rd, Doddagubbi, Bengaluru, Karnataka 560077",13.07158712,77.65986694,9900239725,newarkmission.org
FEED INDIA,"210-273, 325, Lower Palace Orchards, Guttahalli, Bengaluru, Karnataka 560080",13.02370898,77.57823217,9902799027,feedindia.org.in
